C,H,O,Moisture,Ash,ER,T,Steam/Biomass,Bed_material,床型,GY
50,5.7,44.1,23.5,0.85,0.32,800,0,Silica sand,bubbling fluidised bed,2.3
50,5.7,44.1,21,0.85,0.37,800,0,Silica sand,bubbling fluidised bed,2.5
50,5.7,44.1,23,0.85,0.47,810,0,Silica sand,bubbling fluidised bed,2.5
50,5.7,44.1,25,0.85,0.36,790,0,Silica sand,bubbling fluidised bed,2.4
50,5.7,44.1,19,0.85,0.32,800,0,Silica sand,bubbling fluidised bed,2.1
45.89,5.64,47.18,8.5,1.1,0.32,750,0,Silica sand,fluidised bed,1.89
45.89,5.64,47.18,8.5,1.1,0.36,777,0,Silica sand,fluidised bed,2.18
45.89,5.64,47.18,8.5,1.1,0.41,808,0,Silica sand,fluidised bed,2.37
45.89,5.64,47.18,8.5,1.1,0.43,834,0,Silica sand,fluidised bed,2.49
50.54,7.08,41.11,8,0.55,0.22,700,2.7,Silica sand,fluidised bed,1.56
50.54,7.08,41.11,8,0.55,0.22,750,2.7,Silica sand,fluidised bed,1.65
50.54,7.08,41.11,8,0.55,0.22,850,2.7,Silica sand,fluidised bed,2.68
50.54,7.08,41.11,8,0.55,0.22,900,2.7,Silica sand,fluidised bed,2.77
50.54,7.08,41.11,8,0.55,0.19,800,1.56,Silica sand,fluidised bed,2.33
50.54,7.08,41.11,8,0.55,0.21,800,1.56,Silica sand,fluidised bed,2.46
50.54,7.08,41.11,8,0.55,0.25,800,1.56,Silica sand,fluidised bed,2.38
50.54,7.08,41.11,8,0.55,0.27,800,1.56,Silica sand,fluidised bed,2.05
50.54,7.08,41.11,8,0.55,0.22,800,0,Silica sand,fluidised bed,1.6
50.54,7.08,41.11,8,0.55,0.22,800,1.35,Silica sand,fluidised bed,2.61
50.54,7.08,41.11,8,0.55,0.22,800,2.7,Silica sand,fluidised bed,2.44
50.54,7.08,41.11,8,0.55,0.22,800,4.04,Silica sand,fluidised bed,2.13
49.47,5.79,41.94,6.28,0.71,0.19,780,0,Ofite,fluidised bed,1.17
49.47,5.79,41.94,6.28,0.71,0.23,752,0.18,Ofite,fluidised bed,1.42
49.47,5.79,41.94,6.28,0.71,0.27,805,0,Ofite,fluidised bed,1.53
49.47,5.79,41.94,6.28,0.71,0.27,786,0.23,Ofite,fluidised bed,1.86
49.47,5.79,41.94,6.28,0.71,0.27,755,0.43,Ofite,fluidised bed,1.9
49.47,5.79,41.94,6.28,0.71,0.35,812,0,Ofite,fluidised bed,2.18
49.47,5.79,41.94,6.28,0.71,0.33,789,0.45,Ofite,fluidised bed,2.5
49.47,5.79,41.94,6.28,0.71,0.24,785,0,Ofite,fluidised bed,1.75
49.47,5.79,41.94,6.28,0.71,0.3,808,0,Ofite,fluidised bed,2.1
49.47,5.79,41.94,6.28,0.71,0.36,813,0,Ofite,fluidised bed,2.3
45.04,6.4,21.58,6.91,18.87,0.35,850,0,Ofite,fluidised bed,2.74
45.04,6.4,21.58,6.91,18.87,0.31,843,0,Ofite,fluidised bed,2.46
45.04,6.4,21.58,6.91,18.87,0.29,832,0,Ofite,fluidised bed,2.39
45.04,6.4,21.58,6.91,18.87,0.25,808,0,Ofite,fluidised bed,2.16
46.4,5.33,32.13,8.66,14.21,0.23,770,0,Ofite,fluidised bed,2.15
30.88,4.36,15.61,8.65,43.15,0.3,840,0,Ofite,fluidised bed,2.49
45.1,5.3,26.13,22.1,17.55,0.18,700,0,Silica sand,bubbling fluidised bed,0.23
45.1,5.3,26.13,22.1,17.55,0.22,700,0,Silica sand,bubbling fluidised bed,0.45
45.1,5.3,26.13,22.1,17.55,0.3,700,0.24,Silica sand,bubbling fluidised bed,0.73
42.68,3.3,31.72,9.95,21.68,0.35,750,0.5,Silica sand,fluidised bed,1.92
42.68,3.3,31.72,9.95,21.68,0.3,800,0.5,Silica sand,fluidised bed,1.96
42.68,3.3,31.72,9.95,21.68,0.35,800,0.2,Silica sand,fluidised bed,2.07
42.68,3.3,31.72,9.95,21.68,0.4,800,0.5,Silica sand,fluidised bed,2.29
42.68,3.3,31.72,9.95,21.68,0.35,850,0.5,Silica sand,fluidised bed,2.31
42.68,3.3,31.72,9.95,21.68,0.35,800,0.8,Silica sand,fluidised bed,2.13
42.68,3.3,31.72,9.95,21.68,0.35,850,0.8,Silica sand,fluidised bed,2.34
46.26,6.68,25.34,6.4,20.78,0.26,852,0,Olivine,bubbling fluidised bed,2.33
46.26,6.68,25.34,6.4,20.78,0.27,869,0,Olivine,bubbling fluidised bed,2.32
46.26,6.68,25.34,6.4,20.78,0.3,879,0,Olivine,bubbling fluidised bed,2.58
46.26,6.68,25.34,6.4,20.78,0.32,898,0,Olivine,bubbling fluidised bed,2.75
47.2,6.2,39.7,7.8,4.88,0.25,650,0,Silica sand,fluidised bed,1.52
47.2,6.2,39.7,7.8,4.88,0.25,750,0,Silica sand,fluidised bed,1.66
47.2,6.2,39.7,7.8,4.88,0.25,850,0,Silica sand,fluidised bed,1.93
47.2,6.2,39.7,7.8,4.88,0.25,950,0,Silica sand,fluidised bed,2.19
47.2,6.2,39.7,7.8,4.88,0.17,770,0,Silica sand,fluidised bed,1.37
47.2,6.2,39.7,7.8,4.88,0.21,770,0,Silica sand,fluidised bed,1.54
47.2,6.2,39.7,7.8,4.88,0.28,770,0,Silica sand,fluidised bed,1.85
47.2,6.2,39.7,7.8,4.88,0.32,770,0,Silica sand,fluidised bed,2.02
52.65,6.83,35.68,14.6,0.47,0.25,750,0,Silica sand,fluidised bed,2.02
52.65,6.83,35.68,14.6,0.47,0.25,850,0,Silica sand,fluidised bed,2.09
52.65,6.83,35.68,14.6,0.47,0.25,950,0,Silica sand,fluidised bed,2.15
52.65,6.83,35.68,14.6,0.47,0.25,1050,0,Silica sand,fluidised bed,2.34
85.17,13.83,0,0.2,1,0.31,898,0,Silica sand,bubbling fluidised bed,4.4
85.17,13.83,0,0.2,1,0.2,845,0,Silica sand,bubbling fluidised bed,3
85.17,13.83,0,0.2,1,0.27,807,0,Olivine,bubbling fluidised bed,5.49
85.17,13.83,0,0.2,1,0.2,819,0,Olivine,bubbling fluidised bed,4.22
85.17,13.83,0,0.2,1,0.31,825,0,Olivine,bubbling fluidised bed,6.07
85.17,13.83,0,0.2,1,0.21,825,0,Olivine,bubbling fluidised bed,4.86
85.17,13.83,0,0.2,1,0.29,850,0,Olivine,bubbling fluidised bed,6.26
84.65,14.04,0,0.3,1.3,0.23,818,0,Olivine,bubbling fluidised bed,4.98
84.65,14.04,0,0.3,1.3,0.24,829,0,Olivine,bubbling fluidised bed,5.23
68.51,10.26,14.39,0.6,6.74,0.31,914,0,Olivine,bubbling fluidised bed,3.58
68.51,10.26,14.39,0.6,6.74,0.25,884,0,Olivine,bubbling fluidised bed,3.28
68.51,10.26,14.39,0.6,6.74,0.22,869,0,Olivine,bubbling fluidised bed,2.86
80.06,13.19,4.53,0.7,1.91,0.24,890,0,Olivine,bubbling fluidised bed,3.6
57.1,8.16,27.86,5.6,6.25,0.26,879,0,Olivine,bubbling fluidised bed,2.76
57.1,8.16,27.86,5.6,6.25,0.31,915,0,Olivine,bubbling fluidised bed,3.09
57.9,8.46,16,1.9,16.51,0.34,899,0,Olivine,bubbling fluidised bed,3.04
57.9,8.46,16,1.9,16.51,0.23,869,0,Olivine,bubbling fluidised bed,2.36
32.31,5.37,14.38,8.7,41.7,0.3,800,0,Silica sand,fluidised bed,2.8
32.31,5.37,14.38,8.7,41.7,0.3,800,0,Silica sand,fluidised bed,2.8
32.31,5.37,14.38,8.7,41.7,0.3,800,0,Silica sand,fluidised bed,2.7
32.31,5.37,14.38,8.7,41.7,0.3,800,1,Silica sand,fluidised bed,2.9
32.31,5.37,14.38,8.7,41.7,0.3,800,1,Silica sand,fluidised bed,3
27.3,4.8,18.9,7,44,0.3,750,0,Silica sand,bubbling fluidised bed,2.5
27.3,4.8,18.9,7,44,0.3,800,0,Silica sand,bubbling fluidised bed,2.5
27.3,4.8,18.9,7,44,0.2,750,0,Silica sand,bubbling fluidised bed,1.9
27.3,4.8,18.9,7,44,0.2,800,0,Silica sand,bubbling fluidised bed,2
27.3,4.8,18.9,7,44,0.2,850,0,Silica sand,bubbling fluidised bed,2
27.3,4.8,18.9,7,44,0.3,750,0,Silica sand,bubbling fluidised bed,2.5
27.3,4.8,18.9,7,44,0.3,850,0,Silica sand,bubbling fluidised bed,2.6
27.3,4.8,18.9,7,44,0.4,750,0,Silica sand,bubbling fluidised bed,2.9
27.3,4.8,18.9,7,44,0.4,800,0,Silica sand,bubbling fluidised bed,3.1
27.3,4.8,18.9,7,44,0.4,850,0,Silica sand,bubbling fluidised bed,3.1
27.3,4.8,18.9,7,44,0.3,800,0.5,Silica sand,bubbling fluidised bed,2.6
27.3,4.8,18.9,7,44,0.3,850,0.5,Silica sand,bubbling fluidised bed,2.8
27.3,4.8,18.9,7,44,0.3,750,1,Silica sand,bubbling fluidised bed,2.5
27.3,4.8,18.9,7,44,0.3,800,1,Silica sand,bubbling fluidised bed,2.6
50,6.2,36.3,7.6,6.3,0.17,700,0,Ofite,bubbling fluidised bed,1.49
50,6.2,36.3,7.6,6.3,0.2,740,0,Ofite,bubbling fluidised bed,1.57
