C,H,O,Moisture,Ash,ER,T,Steam/Biomass,Bed_material_Alumina,Bed_material_Ofite,Bed_material_Olivine,Bed_material_Silica_sand,床型_bubbling fluidized bed
50.0,5.7,44.1,23.5,0.85,0.32,800,0.0,0,0,0,1,1
50.0,5.7,44.1,21.0,0.85,0.37,800,0.0,0,0,0,1,1
50.0,5.7,44.1,23.0,0.85,0.47,810,0.0,0,0,0,1,1
45.89,5.64,47.18,8.5,1.1,0.32,750,0.0,0,0,0,1,1
45.89,5.64,47.18,8.5,1.1,0.36,777,0.0,0,0,0,1,1
45.89,5.64,47.18,8.5,1.1,0.43,834,0.0,0,0,0,1,1
50.54,7.08,41.11,8.0,0.55,0.22,700,2.7,0,0,0,1,1
50.54,7.08,41.11,8.0,0.55,0.22,750,2.7,0,0,0,1,1
50.54,7.08,41.11,8.0,0.55,0.22,850,2.7,0,0,0,1,1
50.54,7.08,41.11,8.0,0.55,0.22,900,2.7,0,0,0,1,1
50.54,7.08,41.11,8.0,0.55,0.19,800,1.56,0,0,0,1,1
50.54,7.08,41.11,8.0,0.55,0.22,800,2.7,0,0,0,1,1
49.47,5.79,41.94,6.28,0.71,0.23,752,0.18,0,1,0,0,1
49.47,5.79,41.94,6.28,0.71,0.27,786,0.23,0,1,0,0,1
49.47,5.79,41.94,6.28,0.71,0.27,755,0.43,0,1,0,0,1
45.04,6.4,21.58,6.91,18.87,0.25,808,0.0,0,1,0,0,1
46.4,5.33,32.13,8.66,14.21,0.23,770,0.0,0,1,0,0,1
45.1,5.3,26.13,22.1,17.55,0.18,700,0.0,0,0,0,1,1
45.1,5.3,26.13,22.1,17.55,0.22,700,0.0,0,0,0,1,1
42.68,3.3,31.72,9.95,21.68,0.3,800,0.5,0,0,0,1,1
42.68,3.3,31.72,9.95,21.68,0.35,800,0.2,0,0,0,1,1
42.68,3.3,31.72,9.95,21.68,0.35,850,0.5,0,0,0,1,1
42.68,3.3,31.72,9.95,21.68,0.35,800,0.8,0,0,0,1,1
42.68,3.3,31.72,9.95,21.68,0.35,850,0.8,0,0,0,1,1
